sentence_masked,sentence,aspect,polarity,polarity_label
Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the $T$ in half so you get to sample both meats -RRB- .,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,dish,0,neutral
"The $T$ have an outstanding taste with a terrific texture , both chewy yet not gummy .","The Bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",Bagels,1,positive
Nevertheless the $T$ itself is pretty good .,Nevertheless the food itself is pretty good .,food,1,positive
"i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese $T$ , black sabbath , jay-z , and daft punk all being played .","i 've noticed megadeth , mr. scruff , st. germain , traditional vietnamese songs , black sabbath , jay-z , and daft punk all being played .",songs,0,neutral
"They did not have mayonnaise , forgot our $T$ , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",toast,-1,negative
"They did not have $T$ , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",mayonnaise,-1,negative
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the $T$ was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",bacon,-1,negative
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie $T$ in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",cheese,0,neutral
"They did not have mayonnaise , forgot our toast , left out $T$ -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",ingredients,-1,negative
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the $T$ when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",plate,0,neutral
"They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an $T$ -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .","They did not have mayonnaise , forgot our toast , left out ingredients -LRB- ie cheese in an omelet -RRB- , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",omelet,0,neutral
"It took half an hour to get our check , which was perfect since we could sit , have $T$ and talk !","It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !",drinks,0,neutral
"It took half an hour to get our $T$ , which was perfect since we could sit , have drinks and talk !","It took half an hour to get our check , which was perfect since we could sit , have drinks and talk !",check,0,neutral
The $T$ and atmosphere is just as good .,The design and atmosphere is just as good .,design,1,positive
The design and $T$ is just as good .,The design and atmosphere is just as good .,atmosphere,1,positive
He has visited Thailand and is quite expert on the $T$ .,He has visited Thailand and is quite expert on the cuisine .,cuisine,1,positive
The $T$ is the best if you like thin crusted pizza .,The pizza is the best if you like thin crusted pizza .,pizza,1,positive
The pizza is the best if you like $T$ .,The pizza is the best if you like thin crusted pizza .,thin crusted pizza,0,neutral
"All the money went into the $T$ , none of it went to the chefs .","All the money went into the interior decoration , none of it went to the chefs .",interior decoration,1,positive
"All the money went into the interior decoration , none of it went to the $T$ .","All the money went into the interior decoration , none of it went to the chefs .",chefs,-1,negative
The $T$ are uncomfortable if you are sitting against the wall on wooden benches .,The seats are uncomfortable if you are sitting against the wall on wooden benches .,seats,-1,negative
"I asked for $T$ , no ice .","I asked for seltzer with lime , no ice .",seltzer with lime,0,neutral
"Do n't go alone -- even two people is n't enough for the whole experience , with $T$ and a selection of meats and seafoods .","Do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",pickles,1,positive
"Do n't go alone -- even two people is n't enough for the whole experience , with pickles and a $T$ .","Do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",selection of meats and seafoods,1,positive
My suggestion is to eat family style because you 'll want to try the other $T$ .,My suggestion is to eat family style because you 'll want to try the other dishes .,dishes,0,neutral
My suggestion is to $T$ because you 'll want to try the other dishes .,My suggestion is to eat family style because you 'll want to try the other dishes .,eat family style,1,positive
"Best of all is the warm $T$ , the owner is super friendly and service is fast .","Best of all is the warm vibe , the owner is super friendly and service is fast .",vibe,1,positive
"Best of all is the warm vibe , the $T$ is super friendly and service is fast .","Best of all is the warm vibe , the owner is super friendly and service is fast .",owner,1,positive
"Best of all is the warm vibe , the owner is super friendly and $T$ is fast .","Best of all is the warm vibe , the owner is super friendly and service is fast .",service,1,positive
Faan 's got a great concept but a little rough on the $T$ .,Faan 's got a great concept but a little rough on the delivery .,delivery,-1,negative
"From the incredible $T$ , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .","From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",food,1,positive
"From the incredible food , to the warm $T$ , to the friendly service , this downtown neighborhood spot does n't miss a beat .","From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",atmosphere,1,positive
"From the incredible food , to the warm atmosphere , to the friendly $T$ , this downtown neighborhood spot does n't miss a beat .","From the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",service,1,positive
"Great $T$ at REASONABLE prices , makes for an evening that ca n't be beat !","Great food at REASONABLE prices , makes for an evening that ca n't be beat !",food,1,positive
"Great food at REASONABLE $T$ , makes for an evening that ca n't be beat !","Great food at REASONABLE prices , makes for an evening that ca n't be beat !",prices,1,positive
this little place has a cute $T$ r and affordable city prices .,this little place has a cute interior deco r and affordable city prices .,interior deco,1,positive
this little place has a cute interior decor and affordable city $T$ .,this little place has a cute interior decor and affordable city prices .,prices,1,positive
Two words : Free $T$ .,Two words : Free wine .,wine,1,positive
The $T$ is reasonable although the service is poor .,The price is reasonable although the service is poor .,price,1,positive
The price is reasonable although the $T$ is poor .,The price is reasonable although the service is poor .,service,-1,negative
"The $T$ is also very good , you will come out satisfied .","The quantity is also very good , you will come out satisfied .",quantity,1,positive
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious $T$ lovers , we sat at the sushi bar to be closer to the action .","I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers , we sat at the sushi bar to be closer to the action .",sushi,0,neutral
"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers , we sat at the $T$ to be closer to the action .","I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers , we sat at the sushi bar to be closer to the action .",sushi bar,0,neutral
The $T$ is amazing here .,The fried rice is amazing here .,fried rice,1,positive
"Three courses - choices include excellent $T$ , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",mussels,1,positive
"Three courses - choices include excellent mussels , $T$ and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",puff pastry goat cheese,1,positive
"Three courses - choices include excellent mussels , puff pastry goat cheese and $T$ , and a hanger steak au poivre that is out of this world .","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",salad with a delicious dressing,1,positive
"Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a $T$ that is out of this world .","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",hanger steak au poivre,1,positive
"Three $T$ - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .","Three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",courses,0,neutral
it 's a perfect place to have a amanzing $T$ .,it 's a perfect place to have a amanzing indian food .,indian food,1,positive
The place is so cool and the $T$ is prompt and curtious .,The place is so cool and the service is prompt and curtious .,service,1,positive
The $T$ is so cool and the service is prompt and curtious .,The place is so cool and the service is prompt and curtious .,place,1,positive
At the end you 're left with a mild $T$ that you can slurp out of a cup .,At the end you 're left with a mild broth with noodles that you can slurp out of a cup .,broth with noodles,1,positive
I just wonder how you can have such a delicious $T$ for such little money .,I just wonder how you can have such a delicious meal for such little money .,meal,1,positive
I just wonder how you can have such a delicious meal for such little $T$ .,I just wonder how you can have such a delicious meal for such little money .,money,1,positive
The $T$ is excellent .,The wine list is excellent .,wine list,1,positive
"Ive been to many Thai restaurants in Manhattan before , and Toons is by far the best $T$ Ive had -LRB- except for my mom 's of course -RRB- .","Ive been to many Thai restaurants in Manhattan before , and Toons is by far the best Thai food Ive had -LRB- except for my mom 's of course -RRB- .",Thai food,1,positive
They wouldnt even let me finish my $T$ before offering another .,They wouldnt even let me finish my glass of wine before offering another .,glass of wine,0,neutral
"Whem asked , we had to ask more detailed questions so that we knew what the $T$ were .","Whem asked , we had to ask more detailed questions so that we knew what the specials were .",specials,0,neutral
This is a consistently great place to dine for $T$ or dinner .,This is a consistently great place to dine for lunch or dinner .,lunch,0,neutral
This is a consistently great place to dine for lunch or $T$ .,This is a consistently great place to dine for lunch or dinner .,dinner,0,neutral
This is a consistently great place to $T$ for lunch or dinner .,This is a consistently great place to dine for lunch or dinner .,dine,1,positive
"Nice $T$ , the service was very pleasant and the desert was good .","Nice atmosphere , the service was very pleasant and the desert was good .",atmosphere,1,positive
"Nice atmosphere , the $T$ was very pleasant and the desert was good .","Nice atmosphere , the service was very pleasant and the desert was good .",service,1,positive
"Nice atmosphere , the service was very pleasant and the $T$ was good .","Nice atmosphere , the service was very pleasant and the desert was good .",desert,1,positive
After really enjoying ourselves at the $T$ we sat down at a table and had dinner .,After really enjoying ourselves at the bar we sat down at a table and had dinner .,bar,1,positive
After really enjoying ourselves at the bar we sat down at a $T$ and had dinner .,After really enjoying ourselves at the bar we sat down at a table and had dinner .,table,0,neutral
After really enjoying ourselves at the bar we sat down at a table and had $T$ .,After really enjoying ourselves at the bar we sat down at a table and had dinner .,dinner,0,neutral
"Fabulous $T$ , fantastic food , and a chilled out atmosphere and environment .","Fabulous service , fantastic food , and a chilled out atmosphere and environment .",service,1,positive
"Fabulous service , fantastic $T$ , and a chilled out atmosphere and environment .","Fabulous service , fantastic food , and a chilled out atmosphere and environment .",food,1,positive
"Fabulous service , fantastic food , and a chilled out $T$ and environment .","Fabulous service , fantastic food , and a chilled out atmosphere and environment .",atmosphere,1,positive
"Fabulous service , fantastic food , and a chilled out atmosphere and $T$ .","Fabulous service , fantastic food , and a chilled out atmosphere and environment .",environment,1,positive
Try the $T$ .,Try the lasagnette appetizer .,lasagnette appetizer,1,positive
I liked the $T$ !,I liked the beer selection !,beer selection,1,positive
"Great $T$ , good size menu , great service and an unpretensious setting .","Great food , good size menu , great service and an unpretensious setting .",food,1,positive
"Great food , good size $T$ , great service and an unpretensious setting .","Great food , good size menu , great service and an unpretensious setting .",menu,1,positive
"Great food , good size menu , great $T$ and an unpretensious setting .","Great food , good size menu , great service and an unpretensious setting .",service,1,positive
"Great food , good size menu , great service and an unpretensious $T$ .","Great food , good size menu , great service and an unpretensious setting .",setting,1,positive
Go here for a romantic $T$ but not for an all out wow dining experience .,Go here for a romantic dinner but not for an all out wow dining experience .,dinner,1,positive
Go here for a romantic dinner but not for an all out wow $T$ experience .,Go here for a romantic dinner but not for an all out wow dining experience .,dining,1,positive
I grew up eating $T$ and have yet to find a place in NY to satisfy my taste buds .,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds .,Dosa,0,neutral
$T$ is good and wine-by-the-glass was generously filled to the top .,Wine list selection is good and wine-by-the-glass was generously filled to the top .,Wine list selection,1,positive
Wine list selection is good and $T$ was generously filled to the top .,Wine list selection is good and wine-by-the-glass was generously filled to the top .,wine-by-the-glass,1,positive
"With the great variety on the $T$ , I eat here often and never get bored .","With the great variety on the menu , I eat here often and never get bored .",menu,1,positive
The $T$ is very limited - i think we counted 4 or 5 entrees .,The menu is very limited - i think we counted 4 or 5 entrees .,menu,-1,negative
The menu is very limited - i think we counted 4 or 5 $T$ .,The menu is very limited - i think we counted 4 or 5 entrees .,entrees,-1,negative
The $T$ is limited but almost all of the dishes are excellent .,The menu is limited but almost all of the dishes are excellent .,menu,-1,negative
The menu is limited but almost all of the $T$ are excellent .,The menu is limited but almost all of the dishes are excellent .,dishes,1,positive
Not too crazy about their $T$ .,Not too crazy about their sake martini .,sake martini,-1,negative
"Great $T$ , spreads and a good place to hang out in .","Great bagels , spreads and a good place to hang out in .",bagels,1,positive
"Great bagels , $T$ and a good place to hang out in .","Great bagels , spreads and a good place to hang out in .",spreads,1,positive
One thing I liked about this place is that I never felt rushed or pressured to give up my $T$ ot incoming guests .,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests .,table,0,neutral
"Unfortunately , the $T$ is outstanding , but everything else about this restaurant is the pits .","Unfortunately , the food is outstanding , but everything else about this restaurant is the pits .",food,1,positive
We always have a delicious $T$ and always leave feeling satisfied .,We always have a delicious meal and always leave feeling satisfied .,meal,1,positive
"Dip the $T$ in with your chopsticks , swirl them around , and eat .","Dip the ingredients in with your chopsticks , swirl them around , and eat .",ingredients,0,neutral
"Dip the ingredients in with your $T$ , swirl them around , and eat .","Dip the ingredients in with your chopsticks , swirl them around , and eat .",chopsticks,0,neutral
First went here to enjoy their $T$ .,First went here to enjoy their garden terrace .,garden terrace,1,positive
The $T$ was pretty good and huge .,The pizza was pretty good and huge .,pizza,1,positive
"The $T$ from what I 've gathered is authentic Taiwanese , though its very different from what I 've been accustomed to in Taipei .","The cuisine from what I 've gathered is authentic Taiwanese , though its very different from what I 've been accustomed to in Taipei .",cuisine,0,neutral
I almost hesititate to write a review because the $T$ was so great and I would hate for it too become to crowded .,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded .,atmosphere,1,positive
They are often crowded on the weekends but they are efficient and accurate with their $T$ .,They are often crowded on the weekends but they are efficient and accurate with their service .,service,1,positive
They are often $T$ on the weekends but they are efficient and accurate with their service .,They are often crowded on the weekends but they are efficient and accurate with their service .,crowded,-1,negative
All my co-workers were amazed at how small the $T$ was .,All my co-workers were amazed at how small the dish was .,dish,-1,negative
"The $T$ is unheralded , the service impecible , and the food magnificant .","The atmosphere is unheralded , the service impecible , and the food magnificant .",atmosphere,1,positive
"The atmosphere is unheralded , the $T$ impecible , and the food magnificant .","The atmosphere is unheralded , the service impecible , and the food magnificant .",service,1,positive
"The atmosphere is unheralded , the service impecible , and the $T$ magnificant .","The atmosphere is unheralded , the service impecible , and the food magnificant .",food,1,positive
"We ordered the special , $T$ , that was so infused with bone , it was difficult to eat .","We ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",grilled branzino,-1,negative
"The $T$ is friendly , and the food has gotten better and better !","The wait staff is friendly , and the food has gotten better and better !",wait staff,1,positive
"The wait staff is friendly , and the $T$ has gotten better and better !","The wait staff is friendly , and the food has gotten better and better !",food,1,positive
"It may be a bit packed on weekends , but the $T$ is good and it is the best French food you will find in the area .","It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",vibe,1,positive
"It may be a bit packed on weekends , but the vibe is good and it is the best $T$ you will find in the area .","It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",French food,1,positive
"It may be a bit $T$ on weekends , but the vibe is good and it is the best French food you will find in the area .","It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",packed,-1,negative
Right off the L in Brooklyn this is a nice cozy place with good $T$ .,Right off the L in Brooklyn this is a nice cozy place with good pizza .,pizza,1,positive
Right off the L in Brooklyn this is a nice cozy $T$ with good pizza .,Right off the L in Brooklyn this is a nice cozy place with good pizza .,place,1,positive
Le Pere Pinard has a $ 15 $T$ that is outstanding .,Le Pere Pinard has a $ 15 pre-theater menu that is outstanding .,pre-theater menu,1,positive
I also ordered for $T$ and the restaurant forgot half the order .,I also ordered for delivery and the restaurant forgot half the order .,delivery,-1,negative
I also ordered for delivery and the restaurant forgot half the $T$ .,I also ordered for delivery and the restaurant forgot half the order .,order,-1,negative
Our $T$ checked on us maybe twice during the entire meal .,Our server checked on us maybe twice during the entire meal .,server,-1,negative
Our server checked on us maybe twice during the entire $T$ .,Our server checked on us maybe twice during the entire meal .,meal,0,neutral
The strong $T$ coming from the left and right of me negatively affected my taste buds .,The strong scents coming from the left and right of me negatively affected my taste buds .,scents,-1,negative
We had the $T$ and it was FANTASTIC .,We had the lobster sandwich and it was FANTASTIC .,lobster sandwich,1,positive
"Had we been stalling I could understand where they were coming from , but we had been there less than an hour and they had n't even brought us a $T$ yet !","Had we been stalling I could understand where they were coming from , but we had been there less than an hour and they had n't even brought us a check yet !",check,-1,negative
"Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the $T$ you pay for them .","Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .",price,1,positive
"Though the Spider Roll may look like a challenge to eat , with soft $T$ hanging out of the roll , it is well worth the price you pay for them .","Though the Spider Roll may look like a challenge to eat , with soft shell crab hanging out of the roll , it is well worth the price you pay for them .",shell crab,1,positive
$T$ are good and still rare to find in NYC .,Deep Fried Skewers are good and still rare to find in NYC .,Deep Fried Skewers,1,positive
"I have tried to make $T$ , but both times , the hostess did n't have my name .","I have tried to make reservations , but both times , the hostess did n't have my name .",reservations,0,neutral
"I have tried to make reservations , but both times , the $T$ did n't have my name .","I have tried to make reservations , but both times , the hostess did n't have my name .",hostess,-1,negative
I also recommend the $T$ or the different varieties of congee -LRB- rice porridge -RRB- .,I also recommend the rice dishes or the different varieties of congee -LRB- rice porridge -RRB- .,rice dishes,1,positive
I also recommend the rice dishes or the different varieties of $T$ .,I also recommend the rice dishes or the different varieties of congee (rice porridge) .,congee (rice porridge),1,positive
Their $T$ is to die for .,Their tuna tartar appetizer is to die for .,tuna tartar appetizer,1,positive
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - $T$ 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .",chef,1,positive
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the $T$ and soups .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .",fish dishes,1,positive
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and $T$ .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .",soups,1,positive
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and $T$ 's precise execution -RRB- is most evident in the fish dishes and soups .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .",kitchen,1,positive
"An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine $T$ - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .","An oasis of refinement : Food , though somewhat uneven , often reaches the pinnacles of new American fine cuisine - chef 's passion -LRB- and kitchen 's precise execution -RRB- is most evident in the fish dishes and soups .",cuisine,1,positive
"If you love $T$ and cheese and delicious french fare , you 'll love Artisanal !","If you love wine and cheese and delicious french fare , you 'll love Artisanal !",wine,1,positive
"If you love wine and cheese and delicious $T$ , you 'll love Artisanal !","If you love wine and cheese and delicious french fare , you 'll love Artisanal !",french fare,1,positive
"If you love wine and $T$ and delicious french fare , you 'll love Artisanal !","If you love wine and cheese and delicious french fare , you 'll love Artisanal !",cheese,1,positive
I love $T$ and consider myself to be quite an expert on it .,I love Indian food and consider myself to be quite an expert on it .,Indian food,1,positive
Some $T$ get their wish .,Some baby pizzas get their wish .,baby pizzas,0,neutral
Overall A oh ya even though there is $T$ it is deff worth it,Overall A oh ya even though there is waiting it is deff worth it,waiting,-1,negative
The $T$ was incredible and I recommend it .,The lava cake dessert was incredible and I recommend it .,lava cake dessert,1,positive
VT is what $T$ hope to be when they grow up .,VT is what baby pizzas hope to be when they grow up .,baby pizzas,0,neutral
"From the terrible $T$ , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .","From the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",service,-1,negative
"From the terrible service , to the bland $T$ , not to mention the unaccommodating managers , the overall experience was horrible .","From the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",food,-1,negative
"From the terrible service , to the bland food , not to mention the unaccommodating $T$ , the overall experience was horrible .","From the terrible service , to the bland food , not to mention the unaccommodating managers , the overall experience was horrible .",managers,-1,negative
Lahore is a great place to duck into late-night when you need some really tasty $T$ on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .,food,1,positive
Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of $T$ you get for FOUR DOLLARS .,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you 'll likely have trouble finishing the amount of food you get for FOUR DOLLARS .,food,1,positive
The last time I went we were seated at a $T$ in a corridor next to the kitchen .,The last time I went we were seated at a table in a corridor next to the kitchen .,table,-1,negative
good $T$ ranging from affordable to high end .,good selection of wines ranging from affordable to high end .,selection of wines,1,positive
"Nice restaurant overall , with classic upscale $T$ .","Nice restaurant overall , with classic upscale Italian decor .",Italian decor,1,positive
Not impressed with the $T$ .,Not impressed with the food .,food,-1,negative
The entire $T$ was wonderful !,The entire dining experience was wonderful !,dining experience,1,positive
The $T$ -LRB- by the glass and bottle -RRB- is wonderful and I always recommend that friends make a reservation if they 're going to be in town .,The wine selection -LRB- by the glass and bottle -RRB- is wonderful and I always recommend that friends make a reservation if they 're going to be in town .,wine selection,1,positive
The wine selection -LRB- by the glass and bottle -RRB- is wonderful and I always recommend that friends make a $T$ if they 're going to be in town .,The wine selection -LRB- by the glass and bottle -RRB- is wonderful and I always recommend that friends make a reservation if they 're going to be in town .,reservation,0,neutral
$T$ is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress .,Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress .,Service,1,positive
Service is highly refined : our seating was delayed 35 minutes past our reservation and the $T$ d' apologized and regularly kept us apprised of progress .,Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress .,maitre,1,positive
Service is highly refined : our seating was delayed 35 minutes past our $T$ and the maitre d' apologized and regularly kept us apprised of progress .,Service is highly refined : our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress .,reservation,-1,negative
"Order the $T$ , it 's fantastic .","Order the panang duck , it 's fantastic .",panang duck,1,positive
"Food is usually very good , though ocasionally I wondered about freshmess of $T$ in side orders .","Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .",raw vegatables,-1,negative
"Other than the crappy $T$ from two individuals , it 's great .","Other than the crappy service from two individuals , it 's great .",service,-1,negative
They have authentic $T$ at amazin prices .,They have authentic Indian at amazin prices .,Indian,1,positive
They have authentic Indian at amazin $T$ .,They have authentic Indian at amazin prices .,prices,1,positive
$T$ - relaxed and stylish .,Ambiance - relaxed and stylish .,Ambiance,1,positive
"Luckily we saved room for the $T$ , Sea Bass and Crispy Duck .","Luckily we saved room for the BBQ Salmon , Sea Bass and Crispy Duck .",BBQ Salmon,1,positive
"Luckily we saved room for the BBQ Salmon , $T$ and Crispy Duck .","Luckily we saved room for the BBQ Salmon , Sea Bass and Crispy Duck .",Sea Bass,1,positive
"Luckily we saved room for the BBQ Salmon , Sea Bass and $T$ .","Luckily we saved room for the BBQ Salmon , Sea Bass and Crispy Duck .",Crispy Duck,1,positive
"Yes , they use fancy $T$ , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .","Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",ingredients,1,positive
